"ProductCategory","ProductName","Reviewer","ReviewDate","Comment","Rating","IsVerifiedPurchase"
"Arts and Crafts","Shuttle Art 116 PCS Drawing Kit, Professional Drawing Supplies with Sketch, Charcoal, Colored, Graphite, Pastel Pencils & Sticks, Complete Drawing Tools and Paper Pads in Zipper Case for Artists&Kids","Thomas J. Bradley","Reviewed in the United States on November 5, 2024","great value for all the pieces included.  good quality zip folder/container.",5,NA
"Arts and Crafts","Shuttle Art 116 PCS Drawing Kit, Professional Drawing Supplies with Sketch, Charcoal, Colored, Graphite, Pastel Pencils & Sticks, Complete Drawing Tools and Paper Pads in Zipper Case for Artists&Kids","Freda Stone","Reviewed in the United States on November 25, 2024","Arrived quickly everything was there and awesome set.",5,NA
"Arts and Crafts","Caliart Art Supplies, 153-Pack Deluxe Wooden Art Set Crafts Drawing Painting Coloring Supplies Kit with 2 A4 Sketch Pads, Halloween Creative Gift Box for Adults Artist Beginners Kids Girls Boys","Jennifer Fouts","Reviewed in the United States on November 25, 2024","Lots of different colors and pencils and crayons would highly recommend",5,NA
"Arts and Crafts","Caliart Art Supplies, 153-Pack Deluxe Wooden Art Set Crafts Drawing Painting Coloring Supplies Kit with 2 A4 Sketch Pads, Halloween Creative Gift Box for Adults Artist Beginners Kids Girls Boys","Boslady911","Reviewed in the United States on November 29, 2024","Was as described",5,NA
"Arts and Crafts","Castle Art Supplies 120 Colored Pencils Zipper-Case Set | Quality Soft Core Colored Leads for Adult Artists, Professionals and Colorists | In Neat, Strong Carry-Anywhere Zipper Case","Bethany T.","Reviewed in the United States on September 27, 2023","I have quite a few large sets of various brands of colored pencils. I think that overall, this is actually my favorite set! Yes, there are obviously better brands, and these pencils are not in their league, neither for performance nor price!! All things considered, especially the price, that's what makes these my favorite standard colored pencil!! No, these aren't a budget set, and you might even find some pencils that perform more to your liking at a much lower price, it's all just a personal preference, after all.This was the first set of Castle Arts pencils that I bought, over a year ago, and have since purchased the Gold set, the metallic, the pastel ""macaron"" and the water color sets, always the largest quantity available in the zipper pouches. I try not to spend too much on art supplies, but all those other purchases were me chasing the quality of this set.  This particular set is hands down superior to any of the others offered by this brand, but that's just my opinion. I would definitely purchase this again, not totally certain if I would invest again in any of their other sets, but possibly would if I use them all up.These pencils perform comparably to the Crayola brand of colored pencils, except these are a little bit smoother and brighter. This set would be a logical next step-up from Crayolas if you've started there, like their performance, but are looking for something a little bit fancier. To be fair, a lot of people want to complain about Crayola, which I think is just based on their availability at every discount and mass retailer.  I actually use them at times, even with owning tons of other, more desirable sets.  If it's just a coloring book, why burn through professional grade pencils?? These Castle Arts are a great option for coloring books, especially if you opt for them in the zipper case. Very convenient presentation with a sheet to swatch the colors.  My love for this set is honestly based a lot from their presentation and the convenience of the color guide.The pencils come with some instructional info, also.  I love how well these layer and blend. Yes, there's some wax bloom, but you'll get that with any kind of pencil. To compare this set vs. their Gold set, these layer and blend way way better, but the Gold set has more vibrant colors, and sets down more color with less pressure or more color in a single pass. I would recommend these over the Gold set if you're more of a traditionalist with colored pencils and take your time building layers and ranges of tone. These are the best pencils I have found for layering short of some of the higher priced Derwents. To clarify, yes I compared these to Crayola in some aspects, but these layer better than Crayola. The Gold pencils don't let you build the range of subtle layers and effects like these pencils.  The Gold pencils are ""oil"" pencils. All colored pencils have wax binders, but some pencils have added oils, or a somewhat different blend, all subjective, and all depending on the particular brands formulation. I have several different sets of pencils that are labeled as oil pencils, they lay down a lot more color, but they just don't layer and blend quite as well.  Personally, I know of a lot of people who claim they ""hate"" colored pencils, that they just want to color with markers or gel pens because pencils are too soft and light colored.  Of course a lot of coloring books are designed with images on both sides of thin paper, so in that case you're limited to pencils, and if you think you hate pencils, you might want to try oil pencils, like the Gold set.Bottom line, for me this set has been almost the perfect set of pencils.  There's a good range and balance of colors in this set, too.  They sharpen well. I've not had too many issues with poorly blended spotchy nor ""scratchy"" areas like you always get with cheaper pencils. I have had these for over a year, no problems. The case is durable, and also the pencils seem to be a good hardness. They hold a point well.  They're a consistently good product that allows the versatility to use in coloring books, or stand alone art!",5,NA
"Arts and Crafts","Castle Art Supplies 120 Colored Pencils Zipper-Case Set | Quality Soft Core Colored Leads for Adult Artists, Professionals and Colorists | In Neat, Strong Carry-Anywhere Zipper Case","Roo","Reviewed in the United States on November 23, 2024","I took a chance and ordered these and I was pleasantly surprised! They are nice pencils, smooth and buttery feeling. They blend well. I heard they are not lightfast, but I am not a professional artist, so who cares? The shipping was lightening fast too! I have looked at their other offerings and they have a huge amount of colors, even pastels, which I ordered. I really like Castle pencils!",5,NA
"Arts and Crafts","POSCA 8-Color Paint Marker Set, PC-5M Medium","ATENAS AVILA","Reviewed in the United States on August 31, 2024","The Posca Marker Set with Medium Tips is fantastic! My 8-year-old son absolutely loves these markers. They’re perfect for all his creative projects, and he’s thrilled that he can use them on virtually any surface—even his clothes!The colors are vibrant and the markers are easy to use, making them a great tool for his art. The variety of colors in the set allows him to explore and experiment with different ideas.If you’re looking for high-quality markers that kids can use on multiple surfaces, this set is definitely worth it. My son’s creativity has soared since we got them",5,NA
"Arts and Crafts","POSCA 8-Color Paint Marker Set, PC-5M Medium","Always","Reviewed in the United States on September 9, 2024","This paint pens are great. The paint flows well. It doesn’t clump or pool. Dries quickly and they are very pretty colors and the perfect base set. Full coverage, and easy to use. They do smell a bit strong, but it’s worth it for quality performance.",5,NA
"Arts and Crafts","9 x 12 inches Sketch Book, Top Spiral Bound Sketch Pad, 1 Pack 100-Sheets (68lb/100gsm), Acid Free Art Sketchbook Artistic Drawing Painting Writing Paper for Kids Adults Beginners Artists","Tomas","Reviewed in the United States on October 3, 2024","I recently purchased this sketchbook, and it’s fantastic! The thick paper handles various mediums beautifully, with minimal bleed-through. The top spiral binding allows it to lay flat, making it easy to draw from any angle. At 9 x 12 inches, it strikes a perfect balance between ample space and portability—great for on-the-go sketching. Overall, it’s a great value for quality and versatility. Highly recommended for artists of all levels!",5,NA
"Arts and Crafts","9 x 12 inches Sketch Book, Top Spiral Bound Sketch Pad, 1 Pack 100-Sheets (68lb/100gsm), Acid Free Art Sketchbook Artistic Drawing Painting Writing Paper for Kids Adults Beginners Artists","Hayden Call","Reviewed in the United States on November 25, 2024","This sketchbook is an excellent choice for artists of all skill levels. The paper quality is smooth and durable, making it ideal for a variety of mediums, including pencils, charcoal, and light ink. The pages are thick enough to prevent bleed-through, allowing for clean and crisp drawings. The binding is sturdy, and the pages lay flat when open, which is great for detailed work. Overall, this sketchbook offers a great balance of value and performance, making it a reliable companion for anyone looking to bring their artistic ideas to life.",5,NA
