"ProductCategory","ProductName","Reviewer","ReviewDate","Comment","Rating","IsVerifiedPurchase"
"Computers and Tablets","Google Pixel Tablet - Android Tablet with 11-Inch Screen and Extra-Long Battery Life - Hazel - 8 GB RAM - 128 GB","Amazon Customer","Reviewed in the United States on November 25, 2023","I bought this to replace a Samsung tablet that had turned into a brick. So far, I am pleased with my purchase.Pros:Good battery life. After watching YouTube for hours and surfing the web, it lasts about a work day. Charges quickly on the docking speaker.USI stylus comparability. Good for Keep Notes note taking, drawing, and as a ""mouse""Pictures and videos are clear.Docking speaker sounds good, and adds depth to music and video sound.Operating software is only about 15 gigs, so far.Easy to set up, and the Google accounts have synced across devices. The calendar widget is awesome!Cons:The cameras are lacking, but at 8 pm I'm not complaining.While drawing (with stylus or with finger) there is a minute lag from touch point on the screen to the drawing portion. I've tried to adjust it, but can't figure out how or if I'm able to.The pull up from the bottom of the screen to close open apps is a little slow, and sometimes doesn't register.This isn't really a con, but is odd: most apps aren't made for tablets, so they show up as a bar/phone like display when in landscape mode. You can move this display from the left, middle or right, and use multiple apps in split screen mode. It does run a little slower then, but isn't a deal breaker for me.Overall:I got this on a lightning deal, and am pleased. I would purchase again if I had to on lightning deal. The Hub screen is not like Nest Hub- it shows media, weather, etc... and is customizable, but doesn't have all of the Nest Hub features. This tablet is a good tablet for media consumption and a little more. Ididn't receive the case I ordered with it, so cannot say anything about that.",5,NA
"Computers and Tablets","Google Pixel Tablet - Android Tablet with 11-Inch Screen and Extra-Long Battery Life - Hazel - 8 GB RAM - 128 GB","dubs","Reviewed in the United States on November 23, 2023","As an avid user of Google's ecosystem, the Google Pixel Tablet with Charging Speaker Dock has been a delightful addition to my tech arsenal. Offering a seamless integration of hardware and software, this Android tablet with an 11-inch screen provides a versatile and immersive experience, enhanced by the convenience of a dedicated charging speaker dock.The Pixel Tablet's 11-inch display steals the show with its vibrant colors, sharp resolution, and ample screen real estate. Whether watching movies, browsing the web, or working on productivity tasks, the large and vivid display enhances the overall visual experience. The slim bezels add a touch of modernity to the tablet's design, maximizing the screen-to-body ratio.Under the hood, the Pixel Tablet impresses with its robust performance. Powered by a capable processor and optimized for smooth multitasking, the tablet handles a variety of tasks with ease. From running apps to engaging in graphic-intensive activities, the performance is responsive and reliable, ensuring a lag-free user experience.The Pixel Tablet's integration with the Android ecosystem is seamless, providing access to a vast array of apps, services, and customization options. The familiarity of the Android interface, coupled with Google's ecosystem, makes the tablet user-friendly for those already accustomed to Android devices. Regular updates from Google ensure that the tablet stays current with the latest features and security enhancements.The inclusion of a charging speaker dock adds a layer of convenience to the Pixel Tablet experience. Not only does the dock serve as a dedicated charging station, but it also enhances the tablet's audio capabilities. The front-facing speakers deliver clear and powerful sound, making it an excellent companion for multimedia consumption, video calls, and even as a makeshift entertainment center.The Pixel Tablet exhibits a sturdy build quality, exuding a premium feel. The metal construction adds durability to the device, and the slim profile makes it easy to carry around. The tablet's design strikes a balance between modern aesthetics and functional practicality, making it an appealing device both visually and ergonomically.The Pixel Tablet comes equipped with a range of connectivity options, including USB-C ports, a headphone jack, and wireless connectivity features. These options ensure compatibility with various peripherals and accessories, providing users with flexibility in how they use and expand the tablet's capabilities.The tablet's touchscreen interface is responsive and accurate, facilitating smooth navigation and precise input. Whether using gestures, typing, or drawing with a stylus, the touch sensitivity contributes to a satisfying and intuitive user experience. The inclusion of stylus support adds another layer of versatility for users who enjoy creative tasks or note-taking.Security features, including fingerprint recognition and secure facial unlock, add an extra layer of protection to the Pixel Tablet. These biometric options provide convenient yet robust methods for securing the device and personal data. The tablet's user-friendly design extends to the security features, ensuring a hassle-free and secure user experience.The Google Pixel Tablet with Charging Speaker Dock stands out as a versatile and user-friendly Android tablet. With its striking 11-inch display, powerful performance, seamless Android integration, and the added convenience of a charging speaker dock, it caters to a variety of user needs, from productivity to entertainment. Whether you're a fan of Google's ecosystem or simply seeking a reliable and feature-rich Android tablet, the Pixel Tablet delivers on its promises, providing a compelling and enjoyable user experience.",5,NA
"Computers and Tablets","Samsung Galaxy Tab S9 FE+ Plus 12.4â€ 128GB Android Tablet, Long Battery Life, Powerful Processor, S Pen, 8MP Camera, Lightweight Durable Design, Expandable Storage, US Version, 2023, Lavender","BM","Reviewed in the United States on November 6, 2024","I bought the Samsung Tab S9 FE for my mother, as she isn’t a heavy user, and I was pleasantly surprised by its performance. Despite its affordable price, the tablet feels quite powerful, handling apps and multitasking with ease. The display is vibrant and sharp, which makes it enjoyable for reading, browsing, and watching videos. Battery life is impressive, lasting well through the day, even with regular use. The build quality is solid, and it feels premium in hand. For anyone looking for a capable, budget-friendly tablet, this is an excellent choice that delivers more than expected.",5,NA
"Computers and Tablets","Samsung Galaxy Tab S9 FE+ Plus 12.4â€ 128GB Android Tablet, Long Battery Life, Powerful Processor, S Pen, 8MP Camera, Lightweight Durable Design, Expandable Storage, US Version, 2023, Lavender","Bri","Reviewed in the United States on November 5, 2024","This is my first ever tablet and TRUST ME it did not disappoint!!! The battery life is long, it's quick to the touch, SO MUCH STORAGE FOR MY STUFF I was worried when I kept downloading stuff but IT WAS FINE???? almost cried tears of joy 😭😭 the sound quality is amazing THE TABLET QUALITY IS GREAT. it's pretty thin and sleek but definitely durable. Touching and writing on it with s pen is soooo east too!!!",5,NA
"Computers and Tablets","Samsung Galaxy Tab A9+ Plus 11â€ 64GB Android Tablet, Big Screen, Quad Speakers, Upgraded Chipset, Multi Window Display, Slim, Light, Durable, Kids Friendly Design, US Version, 2024, Silver","keeton","Reviewed in the United States on November 14, 2024","This is my third Samsung A tablet.  I have found them to be an excellent value for basic use - reading, web surfing, media playback and lightweight games.  I specifically do not use it as a laptop replacement or for hardcore gaming.  The 11"" screen is of an adequate size and the brightness and clarity are perfect for indoor use.  Mine has 128GB storage, which has the more useful upgrade of 8 GB RAM, which makes loading multiple programs much quicker.  There is a SD slot where you can add up to 1 TB, if you require it.The subjective speed of the A9+ is a little quicker than my older A8.  One useful throwback feature is that it has a real headphone jack if you happen to have a quality set of older headphones.  The built-in speakers are better than I would have thought - they are quite clear, but there is still no appreciable bass.Idle time battery life is somewhat less than I would have thought but this unit is still new and I haven't gone through that many charge cycles to sort out what is going on.  If you run the battery pretty far down, it can take a while to charge - about 4 hours from 10% to 100% using a Samsung phone charger.",5,NA
"Computers and Tablets","Samsung Galaxy Tab A9+ Plus 11â€ 64GB Android Tablet, Big Screen, Quad Speakers, Upgraded Chipset, Multi Window Display, Slim, Light, Durable, Kids Friendly Design, US Version, 2024, Silver","Dustin","Reviewed in the United States on October 22, 2024","I got mine used for $145, after tax $170.  It's a great tablet for the price.  It's hard to even find a smartphone as good as this for that price.  Obviously not as good as the tab S9 or S10, but for $700 less it's worth the trade offs like a lower resolution display.The screen is the high quality one you would expect from a modern Samsung device with rich colors and very bright.The only con is that 4gb of ram in the 64gb model is not enought for multitasking.  You're pretty much limited to 1 app open at a time or it will close the other app when you leave it because there isn't enough ram to have them both open.  Processor is also relatively slow but again, is fine when only 1 app is open at a time and nothing is updating in the background.Rating vs other tablets: 5 out of 10Rating as a sub-$200 tablet: 10 out of 10",5,NA
"Computers and Tablets","Samsung Galaxy Tab A9+ Tablet 11â€ 64GB Android Tablet, Big Screen, Quad Speakers, Upgraded Chipset, Multi Window Display, Slim, Light, Durable Design, US Version, 2024, Graphite","Linda Allen","Reviewed in the United States on November 23, 2024","I like the screen size, picture quality is very good. Functionality is good for navigation to different platforms.",5,NA
"Computers and Tablets","Samsung Galaxy Tab A9+ Tablet 11â€ 64GB Android Tablet, Big Screen, Quad Speakers, Upgraded Chipset, Multi Window Display, Slim, Light, Durable Design, US Version, 2024, Graphite","Cheboygan Michigan","Reviewed in the United States on November 12, 2024","Make sure this tablet DOES NOT say INTERNATIONAL!!!!!!!!!!!It is not in English and you can not change the language due to the fact when it asked for region, There is no north America. I was on phone with Samsung they told could help me even tho they tried. I called Amazon and I had to send it back for the US version.I ordered the us version and love it even tho it was 11 bucks more 🤷‍♀️",1,NA
"Computers and Tablets","ASUS ROG Strix G16 (2024) Gaming Laptop, 16â€ 16:10 FHD 165Hz Display, NVIDIAÂ® GeForce RTXâ„¢ 4060, Intel Core i7-13650HX, 16GB DDR5, 1TB PCIe Gen4 SSD, Wi-Fi 6E, Windows 11, G614JV-AS74","Nathan Flemmons","Reviewed in the United States on November 18, 2024","The ASUS ROG Strix G16 is an absolute powerhouse and a dream machine for gamers and creators alike.Equipped with top-tier hardware, this laptop handles everything I throw at it effortlessly. Gaming is buttery smooth even with maxed-out settings, and multitasking is seamless thanks to the powerful processor and ample RAM.The 16-inch screen with its high refresh rate is stunning. The colors are vibrant, the details are sharp, and the fluidity makes fast-paced games feel immersive and responsive.Sleek, modern, and undeniably ROG. The RGB keyboard is customizable and adds a premium feel, while the cooling system is highly effective and keeps the laptop running optimally even during long sessions.For a gaming laptop, the Strix G16 strikes a great balance between performance and portability. It’s lightweight enough to carry around without sacrificing the power you’d expect from a desktop replacement.While gaming laptops are known for short battery lives, the G16 pleasantly surprised me with its efficiency during non-gaming tasks.For the specs and performance this machine offers, it’s worth every penny. It’s an investment that will serve well for years to come.Whether you’re gaming, streaming, or editing, the ASUS ROG Strix G16 is a beast. Highly recommended to anyone looking for a reliable, high-performance laptop!",5,NA
"Computers and Tablets","ASUS ROG Strix G16 (2024) Gaming Laptop, 16â€ 16:10 FHD 165Hz Display, NVIDIAÂ® GeForce RTXâ„¢ 4060, Intel Core i7-13650HX, 16GB DDR5, 1TB PCIe Gen4 SSD, Wi-Fi 6E, Windows 11, G614JV-AS74","Amazon Customer","Reviewed in the United States on November 30, 2024","I am writing this review to get an extension from ASUS for my laptop warranty but don't let that think you are fooled because of what I am about to write... everything is truthful and here to help you!First... I had an Alienware laptop before and it was just SO LOUD. And hot. I decided to look for a new laptop within my budget and crossed my fingers that it would actually be good. Well... this computer blew me away with everything I had expected from it. First, it is very lightweight but has a nice, smooth finish to it that feels very durable. The graphics are absolutely incredible and the sound is great. I will definitely like using this laptop whether it be just playing games, watching videos, or writing some poetry! It has all my needs covered. It is also SO QUIET. I am almost in shock at the difference this was compared to the Alienware that was just so much more expensive. The battery life is much better as well. I love the lighting on the keyboard, it just goes with my personality. It's quick, easy to personalize, I really am happy that I bought this computer and not something else. The keyboard is also so much quieter. I won't be waking anyone up while I am up late at night messing around online! I highly recommend this... your money won't be wasted. Good luck and have fun!",5,NA
